category,n_subjects,mean_percent,median_percent,sd_percent,min_percent,max_percent,q25_percent,q75_percent,iqr_percent
Speed,27,12.420086283112074,10.763964355574876,6.272454825446329,3.8172280856980345,27.700572747857745,8.156913009686315,15.281760119266426,7.124847109580111
Lane,27,29.220384606632226,29.04647435897436,6.258525732534733,17.57186616399623,45.56409526520543,25.172640111987526,31.590935473983865,6.418295361996339
None,27,58.3595291102557,58.554993097100784,9.787409637247158,34.21161214264662,77.29147031102734,52.9243556801307,64.06077643871356,11.136420758582858
