id;drive;speed.kmh;occ_nr;off;OT;TLC;FADE1.TLC.min;last_OT;last_FADE0.off.abs;steer.ampl;true.TLC.1.0;off.sd.avg.100.so;ratio_OT_TLC
P01;MO_60;60;51;-.082995;3.04312200000001;40.843122;11.4;3.14175399999999;.577975;.9153;0;.331582572862225;.0745075755962047
P01;MO_60;60;52;.126051;3.23997500000002;47.839975;31.3;3.04312200000001;.082995;.6777;0;.331582572862225;.0677252653246583
P01;MO_60;60;53;.057833;2.635346;50.935346;42.6;3.23997500000002;.126051;.09135;0;.331582572862225;.0517390418826251
P01;MO_60;60;54;-.071728;3.04032900000001;41.440329;29.7;2.635346;.057833;.1467;0;.331582572862225;.0733664300782943
P01;MO_60;60;55;-.269475;3.85339400000001;17.953394;25.9;3.04032900000001;.071728;0;0;.331582572862225;.214633177437091
P01;MO_60;60;56;-.46731;3.44885199999999;20.148852;12.8;3.85339400000001;.269475;.98865;0;.331582572862225;.171168660130115
P01;MO_60;60;57;-.151081;3.85290500000002;17.352905;15.9;3.44885199999999;.46731;.1647;0;.331582572862225;.222032276440171
P01;MO_60;60;58;.194377;2.930756;18.030756;12.7;3.85290500000002;.151081;.60435;0;.331582572862225;.162542047599113
P01;MO_60;60;59;.528556;3.74464399999999;12.544644;14.6;2.930756;.194377;.3114;0;.331582572862225;.298505401986696
P01;MO_60;60;60;.589748;2.83523599999998;20.535236;40.4;3.74464399999999;.528556;.6777;0;.331582572862225;.13806688172466
P01;MO_60;60;61;-.095685;4.048416;9.648416;16.4;2.83523599999998;.589748;.531;0;.331582572862225;.419593848358114
P01;MO_60;60;62;-.867856;2.83431999999999;7.43431999999999;6.6;4.048416;.095685;.7506;0;.331582572862225;.381248049586242
P01;MO_60;60;63;-.983728;1.82354699999999;12.723547;20.6;2.83431999999999;.867856;1.35495;0;.331582572862225;.143320647929386
P01;MO_60;60;64;-.484935;2.12797599999999;12.827976;8.9;1.82354699999999;.983728;1.50165;0;.331582572862225;.16588556136993
P01;MO_60;60;65;.008533;2.02505500000001;22.225055;17;2.12797599999999;.484935;.4581;0;.331582572862225;.0911158600057462
P01;MO_60;60;66;.114341;2.93398999999999;21.13399;14.4;2.02505500000001;.008533;.6777;0;.331582572862225;.138828020643522
P01;MO_60;60;67;-.391188;4.13983100000002;42.839831;16.8;2.93398999999999;.114341;.43965;0;.331582572862225;.0966350917677528
P01;MO_60;60;68;-.601315;2.933761;12.733761;19.5;4.13983100000002;.391188;.6957;0;.331582572862225;.230392340487622
P01;MO_60;60;69;.013133;3.34414699999999;56.344147;9.8;2.933761;.601315;1.593;0;.331582572862225;.0593521630560844
P01;MO_60;60;70;.452079;4.258621;19.758621;50.8;3.34414699999999;.013133;.3663;0;.331582572862225;.215532298534397
P01;MO_60;60;71;-.087528;4.15214499999999;12.652145;14.6;4.258621;.452079;.3663;0;.331582572862225;.328177158892819
P01;MO_60;60;72;-.616359;3.85820000000001;1000003.8582;29.4;4.15214499999999;.087528;.67725;0;.331582572862225;3.8581851143502E-06
P01;MO_60;60;73;-.422892;3.74337800000001;54.643378;19;3.85820000000001;.616359;.82395;0;.331582572862225;.0685056110550122
P02;MO_60;60;1;.275766;.810544;14.710544;6.2;.615266;.270157;3.5523;0;.342910286194202;.0550995258910887
P02;MO_60;60;2;.183112;1.011166;29.911166;15.6;.810544;.275766;.7506;0;.342910286194202;.0338056363299244
P02;MO_60;60;3;.100567;1.517408;17.217408;22.3;1.011166;.183112;.67725;0;.342910286194202;.0881321973667581
P02;MO_60;60;4;-.114029;3.33665;23.63665;14.4;1.517408;.100567;.98865;0;.342910286194202;.141164251279263
P02;MO_60;60;5;-.350013;3.337137;59.637137;50.5;3.33665;.114029;.2196;0;.342910286194202;.0559573642846068
P02;MO_60;60;6;-.276054;2.334856;12.334856;59.4;3.337137;.350013;1.7397;0;.342910286194202;.18928927909657
P02;MO_60;60;7;-.101577;2.840847;10.540847;16.8;2.334856;.276054;.60435;0;.342910286194202;.269508418061661
P02;MO_60;60;8;-.245734;2.330852;12.130852;18.3;2.840847;.101577;.531;0;.342910286194202;.192142481006281
P02;MO_60;60;9;-.022584;2.129437;25.029437;8.9;2.330852;.245734;1.593;0;.342910286194202;.0850773031770551
P02;MO_60;60;10;.077531;3.737888;1000003.737888;13.8;2.129437;.022584;.7506;0;.342910286194202;3.73787402824552E-06
P02;MO_60;60;11;-.10123;2.926243;11.926243;27.5;3.737888;.077531;.38475;0;.342910286194202;.245361678443077
P02;MO_60;60;12;.162238;3.643673;7.543673;13;2.926243;.10123;1.3734;0;.342910286194202;.483010464531005
P02;MO_60;60;13;.844733;2.225346;19.625346;15.3;3.643673;.162238;1.062;0;.342910286194202;.113391427595722
P02;MO_60;60;14;.604688;3.036248;13.136248;12.2;2.225346;.844733;1.95885;0;.342910286194202;.231135100372648
P02;MO_60;60;15;-.265641;3.13945;11.03945;10.2;3.036248;.604688;.513;0;.342910286194202;.284384638727473
P02;MO_60;60;16;-.316681;2.531559;8.631559;7.7;3.13945;.265641;1.872;0;.342910286194202;.293291049739682
P02;MO_60;60;17;.12627;2.627972;22.927972;9.3;2.531559;.316681;1.88595;0;.342910286194202;.114618597754743
P02;MO_60;60;18;-.017311;2.92943600000001;12.829436;21.8;2.627972;.12627;1.062;0;.342910286194202;.228337083563144
P02;MO_60;60;19;-.470987;2.932121;21.032121;8.8;2.92943600000001;.017311;1.13535;0;.342910286194202;.139411569570183
P02;MO_60;60;20;-.547111;2.63237000000001;20.43237;21.4;2.932121;.470987;.45765;0;.342910286194202;.128833316937781
P02;MO_60;60;21;-.448955;3.338982;40.138982;18.3;2.63237000000001;.547111;.531;0;.342910286194202;.0831855177592695
P02;MO_60;60;22;-.632417;3.14550799999999;11.345508;16.6;3.338982;.448955;0;0;.342910286194202;.27724699502217
P02;MO_60;60;23;999;1.81752;10.71752;12.8;3.14550799999999;.632417;.4581;0;.342910286194202;.169584008240712
P02;MO_60;60;24;-.10132;2.8368;34.9368;12.5;1.81752;7.5;.60435;0;.342910286194202;.0811980490485677
P02;MO_60;60;25;.208107;2.640137;18.840137;30.6;2.8368;.10132;.29295;0;.342910286194202;.140133641278723
P02;MO_60;60;26;.050688;3.439094;14.539094;15.1;2.640137;.208107;.29295;0;.342910286194202;.236541148987688
P02;MO_60;60;27;-.218277;3.744804;44.044804;16.6;3.439094;.050688;1.062;0;.342910286194202;.0850226056176797
P02;MO_60;60;28;-.211275;3.45401799999999;52.654018;13.7;3.744804;.218277;.7506;0;.342910286194202;.0655983746577515
P02;MO_60;60;29;.123055;4.15814999999999;10.75815;56.9;3.45401799999999;.211275;.8424;0;.342910286194202;.386511621421898
P02;MO_60;60;30;.502739;2.83161899999999;19.631619;18.6;4.15814999999999;.123055;.29295;0;.342910286194202;.144237670871668
P02;MO_60;60;31;.198051;3.233536;14.333536;15.6;2.83161899999999;.502739;.3114;0;.342910286194202;.225592345112888
P02;MO_60;60;32;-.042742;2.63567399999999;10.535674;12;3.233536;.198051;1.81305;0;.342910286194202;.250166624365939
P02;MO_60;60;33;.190818;2.73232299999999;30.732323;10.9;2.63567399999999;.042742;.98865;0;.342910286194202;.0889071418389033
P02;MO_60;60;34;.055877;3.550713;18.450713;22;2.73232299999999;.190818;.07335;0;.342910286194202;.192443132143457
P02;MO_60;60;35;-.26498;2.833718;38.933718;15.2;3.550713;.055877;.531;0;.342910286194202;.0727831336323955
P02;MO_60;60;36;-.274954;2.034881;8.334881;23.6;2.833718;.26498;2.3436;0;.342910286194202;.244140378248952
P02;MO_60;60;37;.435206;3.545151;39.245151;24.9;2.034881;.274954;.8973;0;.342910286194202;.0903334783958405
P02;MO_60;60;38;.422169;2.52972399999999;22.429724;9.2;3.545151;.435206;1.9773;0;.342910286194202;.112784446210751
P02;MO_60;60;39;.107208;2.62762500000002;37.727625;18.4;2.52972399999999;.422169;.29295;0;.342910286194202;.0696472412456395
P02;MO_60;60;40;-.215305;2.63256799999999;29.832568;34.7;2.62762500000002;.107208;.07335;0;.342910286194202;.0882447665920007
P02;MO_60;60;41;-.216505;2.54716500000001;13.247165;10.8;2.63256799999999;.215305;.82395;0;.342910286194202;.192280008590518
P02;MO_60;60;42;.12428;2.528122;18.728122;9.8;2.54716500000001;.216505;.75105;0;.342910286194202;.13499068406325
P02;MO_60;60;43;.041632;3.54800400000002;17.948004;12.5;2.528122;.12428;1.9593;0;.342910286194202;.197682371811374
P02;MO_60;60;44;-.414613;3.636764;12.536764;13.1;3.54800400000002;.041632;.3843;0;.342910286194202;.290087936568001
P02;MO_60;60;45;-.433397;2.440247;10.140247;25.6;3.636764;.414613;1.4283;0;.342910286194202;.240649660703531
P02;MO_60;60;46;.394049;3.04303000000002;8.34303000000002;8.5;2.440247;.433397;1.1349;0;.342910286194202;.364739189479124
P02;MO_60;60;47;.378607;2.431397;8.431397;10.7;3.04303000000002;.394049;1.4283;0;.342910286194202;.288374156738201
P02;MO_60;60;48;-.243402;2.12651099999999;14.426511;7.8;2.431397;.378607;2.27025;0;.342910286194202;.147402999935327
P02;MO_60;60;49;-.046692;3.13713100000001;9.53713100000001;11.4;2.12651099999999;.243402;.14625;0;.342910286194202;.328938650418035
P02;MO_60;60;50;.356364;2.42796300000001;15.127963;12.7;3.13713100000001;.046692;1.13535;0;.342910286194202;.160495038228214
P02;MO_60;60;51;-.088735;3.34051500000001;9.54051500000001;12;2.42796300000001;.356364;.22005;0;.342910286194202;.350139903349034
P02;MO_60;60;52;-.59862;2.734757;16.834757;8.6;3.34051500000001;.088735;1.2816;0;.342910286194202;.162447073040615
P02;MO_60;60;53;-.480906;2.94313;32.34313;15.5;2.734757;.59862;.89685;0;.342910286194202;.0909970680017673
P02;MO_60;60;54;-.375274;2.430207;22.830207;27;2.94313;.480906;.6039;0;.342910286194202;.106446998049558
P02;MO_60;60;55;-.278126;2.63316399999999;1000002.633164;37.8;2.430207;.375274;.29295;0;.342910286194202;2.6331570664656E-06
P02;MO_60;60;56;-.291251;2.72962999999999;26.12963;47.4;2.63316399999999;.278126;.91575;0;.342910286194202;.104464931191142
P02;MO_60;60;57;-.318728;2.934448;20.034448;29.6;2.72962999999999;.291251;.45765;0;.342910286194202;.146470119865544
P02;MO_60;60;58;-.132785;2.13093599999999;22.830936;12.2;2.934448;.318728;.75105;0;.342910286194202;.0933354637759919
P02;MO_60;60;59;.135196;3.255661;20.255661;20.2;2.13093599999999;.132785;0;0;.342910286194202;.160728450184864
P02;MO_60;60;60;.303637;3.546189;16.146189;23.5;3.255661;.135196;.43965;0;.342910286194202;.219630093516185
P02;MO_60;60;61;.591716;3.34506199999998;9.84506199999998;11.8;3.546189;.303637;0;0;.342910286194202;.339770536742175
P02;MO_60;60;62;.67495;4.149078;28.149078;15;3.34506199999998;.591716;1.20825;0;.342910286194202;.147396586133301
P02;MO_60;60;63;.303507;3.23909;15.73909;10.7;4.149078;.67495;1.73925;0;.342910286194202;.205799064621906
P02;MO_60;60;64;-.278789;3.84504699999999;47.045047;38.8;3.23909;.303507;0;0;.342910286194202;.0817311756538364
P02;MO_60;60;65;-.343453;.404586999999992;10.704587;15.4;3.84504699999999;.278789;.8424;0;.342910286194202;.0377956664745676
P03;MO_60;60;1;.106837;.502861000000001;15.102861;4.5;1.012988;.447463;2.655;0;.185070350916283;.0332957444288205
P03;MO_60;60;2;.49452;.405903;7.605903;11;.502861000000001;.106837;1.8864;0;.185070350916283;.0533668388881636
P03;MO_60;60;3;.53888;.708278;5.108278;5.8;.405903;.49452;0;0;.185070350916283;.138652986387977
P03;MO_60;60;4;.087894;.606266;5.106266;3.8;.708278;.53888;3.86325;0;.185070350916283;.118729811568767
P03;MO_60;60;5;-.385617;.505746;18.505746;6.4;.606266;.087894;.36585;0;.185070350916283;.0273291333405311
P03;MO_60;60;6;-.907414;1.421704;9.221704;17.1;.505746;.385617;2.03715;0;.185070350916283;.154169337901108
P03;MO_60;60;7;-.4927;1.722599;11.622599;6.7;1.421704;.907414;3.6117;0;.185070350916283;.148211170324297
P03;MO_60;60;8;-.015187;1.515768;8.015768;11.4;1.722599;.4927;2.78325;0;.185070350916283;.189098287275779
P03;MO_60;60;9;-.495445;2.831042;27.631042;6;1.515768;.015187;3.16755;0;.185070350916283;.102458749112683
P03;MO_60;60;10;-.802718;2.22573;16.52573;24.1;2.831042;.495445;.67725;0;.185070350916283;.134682703880555
P03;MO_60;60;11;-.613712;2.934221;9.934221;13.5;2.22573;.802718;2.3436;0;.185070350916283;.295364981310563
P03;MO_60;60;12;-.929443;2.628172;3.628172;6.7;2.934221;.613712;1.44675;0;.185070350916283;.724379108818435
P03;MO_60;60;13;-.595165;2.030868;.101627000000001;.1;2.628172;.929443;6.04665;1;.185070350916283;19.9835476792583
P03;MO_60;60;14;.60232;.707157000000002;7.807157;2;2.030868;.595165;9.4257;0;.185070350916283;.0905780426857052
P03;MO_60;60;15;.65658;.806895999999995;3.20689599999999;3.6;.707157000000002;.60232;9.07155;0;.185070350916283;.251612774471014
P03;MO_60;60;16;-.37911;.609070000000003;3.80907;2.7;.806895999999995;.65658;4.6008;0;.185070350916283;.159899923078337
P03;MO_60;60;17;-1.077399;1.215683;6.215683;7.8;.609070000000003;.37911;.89685;0;.185070350916283;.195583172436561
P03;MO_60;60;18;-.025161;1.930965;14.030965;4.1;1.215683;1.077399;9.8919;0;.185070350916283;.137621681758881
P03;MO_60;60;19;.112615;2.025532;5.825532;9.5;1.930965;.025161;.97065;0;.185070350916283;.34769905993135
P03;MO_60;60;20;-.947832;1.615204;2.215204;3.3;2.025532;.112615;3.02085;0;.185070350916283;.729144584426536
P03;MO_60;60;21;-1.440907;1.115292;-.202812000000003;-.202812;1.615204;.947832;1.7397;0;.185070350916283;-5.49914206259976
P03;MO_60;60;22;-.735278;1.313515;4.913515;-1.725372;1.115292;1.440907;1.593;0;.185070350916283;.267326954329029
P03;MO_60;60;23;.263118;1.313152;6.513152;13.2;1.313515;.735278;3.0213;0;.185070350916283;.201615439037812
P03;MO_60;60;24;-.552145;1.930256;3.730256;4.2;1.313152;.263118;5.82255;0;.185070350916283;.517459391527016
P03;MO_60;60;25;-1.142364;.810580999999999;.709056999999994;1.3;1.930256;.552145;1.88595;1;.185070350916283;1.1431817188181
P03;MO_60;60;26;-.307364;1.718377;6.518377;-.606075;.810580999999999;1.142364;7.3107;0;.185070350916283;.263620376667382
P03;MO_60;60;27;.473218;1.21899800000001;7.91899800000001;12.9;1.718377;.307364;1.66635;0;.185070350916283;.153933363791733
P03;MO_60;60;28;.266617;1.112434;4.712434;5.7;1.21899800000001;.473218;0;0;.185070350916283;.236063571394316
