"t","id","drive","speed.kmh","occ_nr","x","y","yaw","steer","off","speed","leftTLC","rightTLC","report","OT","OTTLC","true.TLC","FADE1.leftTLC","FADE1.rightTLC","FADE1.off","FADE1.TLC.min","FADE0.TLC.min","steer.ampl","steer.min","steer.max","steer.avg","steer.sd","offset.min","offset.max","offset.avg","offset.sd","last_OT","last_FADE0.off"
21.35088,"P01","SO_1.2",100,15,5706.266113,8100.32959,-110.053841,-0.012085,-1.123039,27.7784,4.3,0,"{""type"":""M"",""msg"":""FADE0"",""time"":21.3474,""dist"":0.42234}",4.642107,4.642107,4.642107,21.5,8,-0.254486,8,0,0.010579,-0.014445,-0.003866,-0.00894836170212766,0.00299278074434443,-1.123039,-0.254486,-0.545840638297872,0.239447908411015,4.539658,-0.022278
20.815271,"P01","SO_1.2",100,16,5708.32959,8108.515137,-110.899216,-0.013794,-1.870157,27.7777,1.3,-0.907016,"{""type"":""M"",""msg"":""FADE0"",""time"":20.8071,""dist"":0.41381}",4.342569,3.435553,3.435553,15.1,8.1,-0.167649,8.1,-0.907016,0.00472,-0.013794,-0.009074,-0.0115772045454545,0.0016041774474071,-1.870157,-0.167649,-0.720049522727273,0.501053362205854,4.642107,-1.123039
20.027788,"P01","SO_1.2",100,17,5720.264648,8138.955566,-108.233986,-0.014974,-0.093985,27.7769,5.8,3.3,"{""type"":""M"",""msg"":""FADE0"",""time"":19.962,""dist"":0.379533}",3.135876,6.435876,0,13.6,8.5,-0.232474,8.5,3.3,0.008586,-0.014974,-0.006388,-0.009916875,0.00261177889878317,-0.232474,-0.043057,-0.1213364375,0.0619115719372227,4.342569,-1.870157
20.195904,"P01","SO_1.2",100,18,5716.09668,8129.396484,-109.712357,-0.014771,-1.135036,27.7773,2.7,0,"{""type"":""M"",""msg"":""FADE0"",""time"":20.1245,""dist"":0.389761}",3.6343,3.6343,3.6343,13.3,7.3,0.012551,7.3,0,0.006552,-0.014771,-0.008219,-0.0110578108108108,0.00228409157529297,-1.135036,0.012551,-0.405627783783784,0.325195726973356,3.135876,-0.093985
20.904869,"P01","SO_1.2",100,19,5707.626953,8107.530273,-112.5299,-0.03156,1.504104,27.7741,0.4,-1.007999,"{""type"":""M"",""msg"":""FADE0"",""time"":20.8119,""dist"":0.412562}",4.4459,3.437901,3.437901,15.9,20.5,-0.48214,15.9,-1.007999,0.024846,-0.03156,-0.006714,-0.0142672888888889,0.00708234033488874,-1.808937,1.809837,-0.643501888888889,0.712255061215631,3.6343,-1.135036
20.516541,"P01","SO_1.2",100,20,5712.154297,8119.277344,-110.688065,-0.013794,-1.706838,27.7779,1.5,-0.606734,"{""type"":""M"",""msg"":""FADE0"",""time"":20.498,""dist"":0.402098}",3.93866,3.331926,3.331926,11.1,6.7,0.151563,6.7,-0.606734,0.004517,-0.014608,-0.010091,-0.01210325,0.00168596208172831,-1.706838,0.151563,-0.503182725,0.547348371445649,4.4459,1.504104
19.611214,"P01","SO_1.2",100,21,5720.269531,8140.986328,-109.060234,-0.013794,-0.725841,27.7778,3.7,1,"{""type"":""M"",""msg"":""FADE0"",""time"":19.5369,""dist"":0.377348}",3.130314,4.130314,0,9.6,6.2,-0.121912,6.2,1,0.004558,-0.013957,-0.009399,-0.012340625,0.00164107409260501,-0.725841,-0.08584,-0.23919071875,0.191985556272951,3.93866,-1.706838
20.317808,"P01","SO_1.2",100,22,5714.260254,8122.82373,-110.063934,-0.012614,-0.822219,27.7777,3.3,0.7,"{""type"":""M"",""msg"":""FADE0"",""time"":20.2729,""dist"":0.39735}",3.840229,4.540229,0,11.2,8,0.296361,8,0.7,0.004028,-0.015299,-0.011271,-0.0122757692307692,0.00110013617486149,-0.822219,0.322111,0.0101693589743589,0.346315471202614,3.130314,-0.725841
20.410818,"P01","SO_1.2",100,23,5713.680176,8121.02002,-109.655289,-0.003011,-0.793577,27.7778,11.9,1.4,"{""type"":""M"",""msg"":""FADE0"",""time"":20.3932,""dist"":0.399979}",3.74653,5.14653,0,11.9,16.4,-0.239482,11.9,1.4,0.012126,-0.015137,-0.003011,-0.0101993421052632,0.00339519121999651,-0.793577,-0.224381,-0.341045131578947,0.161617679626479,3.840229,-0.822219
20.682779,"P01","SO_1.2",100,24,5712.73291,8114.164551,-108.600426,-0.012248,0.516638,27.7773,10.1,7.3,"{""type"":""M"",""msg"":""FADE0"",""time"":20.6333,""dist"":0.405933}",4.139869,11.439869,0,26.1,14.4,0.070052,14.4,7.3,0.008423,-0.012451,-0.004028,-0.00761969047619048,0.00264880848950116,-0.006536,0.516638,0.174784928571429,0.183642300880416,3.74653,-0.793577
19.676136,"P01","SO_1.2",100,25,5720.552734,8139.709473,-108.532898,-0.012085,-0.056465,27.7774,6.4,3.4,"{""type"":""M"",""msg"":""FADE0"",""time"":19.6163,""dist"":0.378907}",3.23451,6.63451,0,15,10.5,-0.008402,10.5,3.4,0.006226,-0.014974,-0.008748,-0.0110294242424242,0.00186998843629952,-0.056465,0.149526,0.0836739696969697,0.0571277664496898,4.139869,0.516638
20.989834,"P01","SO_1.2",100,26,5714.236328,8122.772461,-109.603752,-0.009074,-0.819575,27.7781,5.2,0.9,"{""type"":""M"",""msg"":""FADE0"",""time"":20.9522,""dist"":0.397596}",3.838009,4.738009,0,12.6,8.2,-0.027724,8.2,0.9,0.004517,-0.013428,-0.008911,-0.0109111794871795,0.0014559148665068,-0.819575,-0.018187,-0.230955846153846,0.243251966079201,3.23451,-0.056465
20.454494,"P01","SO_1.2",100,27,5715.078125,8124.123535,-108.864815,-0.009237,-0.432782,27.7777,9.8,3.9,"{""type"":""M"",""msg"":""FADE0"",""time"":20.3869,""dist"":0.395212}",3.744955,7.644955,0,21.5,27.6,-0.030565,21.5,3.9,0.007039,-0.012939,-0.0059,-0.00849139473684211,0.00207446495269782,-0.432782,-0.030565,-0.205863605263158,0.100134947689535,3.838009,-0.819575
19.91675,"P01","SO_1.2",100,28,5719.853027,8141.743164,-108.603371,-0.009237,-1.343554,27.7779,4.6,-0.504736,"{""type"":""M"",""msg"":""FADE0"",""time"":19.8524,""dist"":0.377035}",3.13468,2.629944,2.629944,6.6,3.4,-0.028201,3.4,-0.504736,0.0059,-0.011108,-0.005208,-0.008213,0.00163713851464347,-1.343554,-0.028201,-0.7063975,0.392530477478645,3.744955,-0.432782
20.230835,"P01","SO_1.2",100,29,5715.85498,8125.338867,-108.991051,-0.015625,-0.080432,27.7773,5.1,2.8,"{""type"":""M"",""msg"":""FADE0"",""time"":20.2259,""dist"":0.395558}",3.743996,6.543996,0,10.4,15.7,-0.050976,10.4,2.8,0.008911,-0.015625,-0.006714,-0.00988118421052632,0.0025148703459704,-0.080432,0.073578,0.0177822105263158,0.0461405291410268,3.13468,-1.343554
20.011911,"P01","SO_1.2",100,30,5716.444824,8129.404297,-109.33387,-0.015137,-0.799934,27.7774,3.6,0.9,"{""type"":""M"",""msg"":""FADE0"",""time"":19.9549,""dist"":0.390072}",3.63759,4.53759,0,58.6,25.8,-0.131954,25.8,0.9,0.006918,-0.015137,-0.008219,-0.0107741081081081,0.00205374614064402,-0.799934,-0.131954,-0.328563189189189,0.189443223854043,3.743996,-0.080432
22.684755,"P02","SO_1.2",100,1,5693.545898,8064.20752,-111.121178,-0.009766,-0.768085,27.7777,7.9,2.1,"{""type"":""M"",""msg"":""FADE0"",""time"":22.6314,""dist"":0.459291}",6.079237,8.179237,0,15.7,7.3,-0.249501,7.3,2.1,0.002889,-0.009766,-0.006877,-0.00840150819672131,0.00103709227527337,-0.768085,-0.249501,-0.459706786885246,0.122102430255928,NA,NA
24.539558,"P02","SO_1.2",100,2,5677.604004,8023.004395,-112.842262,-0.007243,-0.577873,27.7779,29,3.9,"{""type"":""M"",""msg"":""FADE0"",""time"":24.4656,""dist"":0.50293}",7.582021,11.482021,0,10.3,15.5,-0.095405,10.3,3.9,0.003377,-0.010091,-0.006714,-0.00884201315789474,0.000654703607106219,-0.577873,-0.01691,-0.127812697368421,0.146373642383504,6.079237,-0.768085
24.964582,"P02","SO_1.2",100,3,5676.64209,8017.201172,-112.317322,-0.007894,0.74838,27.7776,11.8,25.1,"{""type"":""M"",""msg"":""FADE0"",""time"":24.8713,""dist"":0.508168}",7.882316,19.682316,0,15.5,21.1,-0.236732,15.5,11.8,0.002685,-0.008911,-0.006226,-0.00782227848101266,0.000956883750095937,-0.260407,0.74838,0.205203708860759,0.355285384894192,7.582021,-0.577873
24.489553,"P02","SO_1.2",100,4,5677.944336,8025.586426,-113.788101,-0.011434,-1.25589,27.7778,2.7,-0.139171,"{""type"":""M"",""msg"":""FADE0"",""time"":24.3821,""dist"":0.499476}",7.513687,7.374516,7.374516,11.6,22.2,-0.276212,11.6,-0.139171,0.004557,-0.012451,-0.007894,-0.01053868,0.00118014115234554,-1.25589,0.204171,-0.125668066666667,0.370452961159798,7.882316,0.74838
23.238041,"P02","SO_1.2",100,5,5688.619629,8052.501465,-112.187614,-0.010742,-1.219431,27.7779,3.8,-0.200661,"{""type"":""M"",""msg"":""FADE0"",""time"":23.2216,""dist"":0.473011}",6.468298,6.267637,6.267637,9.6,14,-0.283332,9.6,-0.200661,0.005534,-0.011922,-0.006388,-0.00968793846153846,0.000972251026563534,-1.219431,-0.212033,-0.442194892307692,0.286198091003478,7.513687,-1.25589
21.921909,"P02","SO_1.2",100,6,5701.248047,8080.412598,-109.462509,-0.008586,0.855491,27.7778,2.7,45.6,"{""type"":""M"",""msg"":""FADE0"",""time"":21.8418,""dist"":0.440712}",5.458948,8.158948,0,22.2,28.9,-0.189104,22.2,2.7,0.004394,-0.008748,-0.004354,-0.00692983636363636,0.0013149778305924,-0.239863,0.855491,0.157961618181818,0.363056466799715,6.468298,-1.219431
23.034407,"P02","SO_1.2",100,7,5690.132812,8056.411133,-112.592445,-0.012248,-1.217871,27.7778,2.7,-0.101593,"{""type"":""M"",""msg"":""FADE0"",""time"":22.9738,""dist"":0.467582}",6.359278,6.257685,6.257685,25,31.6,-0.005191,25,-0.101593,0.008057,-0.013957,-0.0059,-0.0098413125,0.00277425960307216,-1.217871,-0.005191,-0.303932765625,0.294784785235933,5.458948,0.855491
23.456797,"P02","SO_1.2",100,8,5691.919922,8063.229492,-111.702362,-0.009074,1.794926,27.7777,2.4,-2.224221,"{""type"":""M"",""msg"":""FADE0"",""time"":23.3915,""dist"":0.460322}",6.067749,3.843528,3.843528,18.6,24,-0.325335,18.6,-2.224221,0.00354,-0.010579,-0.007039,-0.00910859016393443,0.000618858421532453,-1.861972,1.842492,-0.859797540983607,0.668200106237535,6.359278,-1.217871
22.337257,"P02","SO_1.2",100,9,5696.930664,8072.749512,-110.559288,-0.008586,-0.576465,27.7778,15.8,5.5,"{""type"":""M"",""msg"":""FADE0"",""time"":22.3299,""dist"":0.45137}",5.668773,11.168773,0,21.3,27.2,-0.264796,21.3,5.5,0.00236,-0.008911,-0.006551,-0.00805808771929825,0.000816602768458223,-0.576465,-0.264796,-0.415481894736842,0.0687187461907188,6.067749,1.794926
23.013197,"P02","SO_1.2",100,10,5691.040527,8060.600586,-111.771339,-0.008911,-1.847364,27.7777,2.8,-1.919624,"{""type"":""M"",""msg"":""FADE0"",""time"":22.9154,""dist"":0.462271}",6.167124,4.2475,4.2475,12.4,16.9,-0.177409,12.4,-1.919624,0.003866,-0.010254,-0.006388,-0.00915472580645161,0.000815567913754618,-1.847364,-0.177409,-0.844115370967742,0.505948981787147,5.668773,-0.576465
22.020958,"P02","SO_1.2",100,11,5700.787598,8081.000488,-109.691856,-0.008057,0.217885,27.7776,14.5,28.5,"{""type"":""M"",""msg"":""FADE0"",""time"":22.0099,""dist"":0.44227}",5.45743,19.95743,0,11.6,16.8,-0.056256,11.6,14.5,0.004029,-0.009237,-0.005208,-0.00757430909090909,0.00113153756214518,-0.060455,0.217885,0.0165001636363636,0.0727110041587174,6.167124,-1.847364
22.47467,"P02","SO_1.2",100,12,5697.020508,8070.650391,-110.222763,-0.006551,0.244784,27.7779,7.7,13.2,"{""type"":""M"",""msg"":""FADE0"",""time"":22.4326,""dist"":0.452379}",5.76275,13.46275,0,5.5,8.5,-0.032996,5.5,7.7,0.006225,-0.009928,-0.003703,-0.00803901724137931,0.00141183084434037,-0.032996,0.244784,0.147935586206897,0.0704755331965253,5.45743,0.217885
21.6499,"P02","SO_1.2",100,13,5706.916504,8091.880859,-107.242996,-0.003703,-1.39767,27.778,-1.413511,0.5,"{""type"":""M"",""msg"":""FADE0"",""time"":21.641,""dist"":0.430104}",4.947534,3.534023,3.534023,15.8,11.2,-0.129608,11.2,-1.413511,0.007894,-0.010254,-0.00236,-0.00502448,0.00219168094318828,-1.82688,1.826499,0.36340274,0.858548624872465,5.76275,0.244784
22.316845,"P02","SO_1.2",100,14,5700.197266,8079.84668,-110.251801,-0.009766,0.046944,27.7777,12.1,7.2,"{""type"":""M"",""msg"":""FADE0"",""time"":22.2678,""dist"":0.442467}",5.450943,12.650943,0,17,10.6,-0.015062,10.6,7.2,0.002523,-0.009766,-0.007243,-0.00845916363636364,0.000861819173343276,-0.019007,0.09821,0.0525449818181818,0.0444777894141147,4.947534,-1.39767
21.534809,"P02","SO_1.2",100,15,5704.617676,8092.353516,-109.889885,-0.009928,-0.023627,27.7774,10.6,6,"{""type"":""M"",""msg"":""FADE0"",""time"":21.4715,""dist"":0.428738}",4.954803,10.954803,0,14.8,9.7,-0.276733,9.7,6,0.003011,-0.010905,-0.007894,-0.00920492,0.000874175292746815,-0.276733,0.052222,-0.05898384,0.103758111718763,5.450943,0.046944
23.619274,"P02","SO_1.2",100,16,5687.066895,8040.043945,-110.469894,-0.008219,-1.852301,27.7778,-1.514274,3.1,"{""type"":""M"",""msg"":""FADE0"",""time"":23.565,""dist"":0.484227}",6.963783,5.449509,5.449509,16.5,8.5,-0.259511,8.5,-1.514274,0.004028,-0.008911,-0.004883,-0.00670224285714286,0.00114407652064587,-1.852301,1.843029,0.410250185714286,0.73698436599439,4.954803,-0.023627
22.218449,"P02","SO_1.2",100,17,5697.443848,8072.782227,-110.616631,-0.010579,-0.107814,27.7778,9.3,5.2,"{""type"":""M"",""msg"":""FADE0"",""time"":22.1762,""dist"":0.450208}",5.660426,10.860426,0,18.5,10.4,-0.200905,10.4,5.2,0.003336,-0.010579,-0.007243,-0.00851070175438597,0.00116322527244775,-0.225921,-0.029428,-0.129032210526316,0.0746359681776289,6.963783,-1.852301
25.068739,"P02","SO_1.2",100,18,5672.587402,8005.932129,-112.996704,-0.011434,1.334202,27.7776,-2.118969,8.9,"{""type"":""M"",""msg"":""FADE0"",""time"":25.0249,""dist"":0.521509}",8.290396,6.171427,6.171427,16.3,23.2,-0.238447,16.3,-2.118969,0.005737,-0.011434,-0.005697,-0.00833607228915663,0.00168960685846559,-0.238447,1.342546,0.564759325301205,0.578449569352443,5.660426,-0.107814
26.245287,"P02","SO_1.2",100,19,5656.908691,7970.536133,-113.565453,-0.007243,1.103559,27.7776,0.1,7.6,"{""type"":""M"",""msg"":""FADE0"",""time"":26.2258,""dist"":0.560817}",9.706671,9.806671,0,14.8,7.8,-0.296915,7.8,0.1,0.003174,-0.009237,-0.006063,-0.00740313402061856,0.000778329402589102,-0.329526,1.103559,0.170604226804124,0.408646927854125,8.290396,1.334202
24.064243,"P02","SO_1.2",100,20,5678.605469,8024.60791,-112.176292,-0.008219,-0.243558,27.778,39.8,44.5,"{""type"":""M"",""msg"":""FADE0"",""time"":24.0021,""dist"":0.501377}",7.587026,47.387026,0,14.9,21.2,-0.266859,14.9,39.8,0.001668,-0.008911,-0.007243,-0.00811717105263158,0.000488969811969557,-0.266859,-0.195976,-0.225552013157895,0.0208713310915513,9.706671,1.103559
22.440132,"P02","SO_1.2",100,21,5692.965332,8066.194824,-111.959831,-0.009562,1.722695,27.7778,1.6,-1.517443,"{""type"":""M"",""msg"":""FADE0"",""time"":22.4074,""dist"":0.458233}",6.055706,4.538263,4.538263,11.8,15.9,0.280841,11.8,-1.517443,0.005696,-0.010579,-0.004883,-0.00924931147540984,0.00130775732383068,-1.832258,1.85325,-0.428514950819672,0.78590399132378,7.587026,-0.243558
23.616541,"P02","SO_1.2",100,22,5684.890137,8042.015137,-112.005951,-0.008748,-0.8804,27.7777,9.4,1.6,"{""type"":""M"",""msg"":""FADE0"",""time"":23.5334,""dist"":0.482304}",6.871008,8.471008,0,32.5,39.8,-0.026953,32.5,1.6,0.001831,-0.009399,-0.007568,-0.00842447826086956,0.000594864235838131,-0.8804,-0.026953,-0.363275115942029,0.231635451636297,6.055706,1.722695
22.553341,"P02","SO_1.2",100,23,5695.811035,8072.815918,-111.562302,-0.008219,-1.668657,27.7781,3,-0.909126,"{""type"":""M"",""msg"":""FADE0"",""time"":22.5437,""dist"":0.45163}",5.67045,4.761324,4.761324,17.7,24.2,-0.016906,17.7,-0.909126,0.004883,-0.011597,-0.006714,-0.00965863157894737,0.00110736222347747,-1.668657,-0.016906,-0.554916719298246,0.490068682510376,6.871008,-0.8804
22.301672,"P02","SO_1.2",100,24,5699.326172,8075.730957,-110.039001,-0.007731,0.648926,27.7779,10.1,22.1,"{""type"":""M"",""msg"":""FADE0"",""time"":22.2059,""dist"":0.445369}",5.652885,15.752885,0,30.1,20.8,0.374985,20.8,10.1,0.002523,-0.009074,-0.006551,-0.00791954385964912,0.000660493053661306,0.374985,0.648926,0.477677649122807,0.0844140165255855,5.67045,-1.668657
22.424696,"P02","SO_1.2",100,25,5693.902344,8068.915527,-111.817871,-0.010417,1.648235,27.7778,1.4,-1.918131,"{""type"":""M"",""msg"":""FADE0"",""time"":22.3852,""dist"":0.455028}",5.956228,4.038097,4.038097,55.1,59.7,-0.329632,55.1,-1.918131,0.002686,-0.010905,-0.008219,-0.0100686833333333,0.000595712633818014,-1.854465,1.835087,-0.653310716666667,0.789070637891508,5.652885,0.648926
21.708118,"P02","SO_1.2",100,26,5703.966309,8094.835449,-110.765678,-0.007406,-1.483782,27.778,3.7,-0.605167,"{""type"":""M"",""msg"":""FADE0"",""time"":21.6091,""dist"":0.425656}",4.846332,4.241165,4.241165,12.4,17.6,-0.019329,12.4,-0.605167,0.005696,-0.011759,-0.006063,-0.0101044081632653,0.00128241874203864,-1.483782,-0.019329,-0.498306530612245,0.451487492270555,5.956228,1.648235
22.84399,"P02","SO_1.2",100,27,5689.441895,8054.986816,-111.661484,-0.008057,-1.334754,27.7778,7.4,-0.70619,"{""type"":""M"",""msg"":""FADE0"",""time"":22.7473,""dist"":0.468101}",6.474117,5.767927,5.767927,1e+06,17,-0.336916,17,-0.70619,0.001709,-0.009766,-0.008057,-0.0088122,0.000505046538697178,-1.334754,-0.336916,-0.677976384615385,0.296831678261892,4.846332,-1.483782
22.917097,"P02","SO_1.2",100,28,5691.518555,8062.429688,-111.698051,-0.007406,1.702766,27.7779,2.4,-2.026092,"{""type"":""M"",""msg"":""FADE0"",""time"":22.8727,""dist"":0.461967}",6.165569,4.139477,4.139477,42,9.9,0.24638,9.9,-2.026092,0.003215,-0.009766,-0.006551,-0.00848717741935484,0.00076264061373052,-1.858899,1.844358,-0.555591564516129,0.859649165600609,6.474117,-1.334754
22.10272,"P02","SO_1.2",100,29,5699.739258,8077.242188,-109.45089,-0.008586,0.527031,27.7777,4.7,35.5,"{""type"":""M"",""msg"":""FADE0"",""time"":22.0475,""dist"":0.444894}",5.559591,10.259591,0,19.6,10,-0.12252,10,4.7,0.003703,-0.008586,-0.004883,-0.00677133928571429,0.00104839602643598,-0.218099,0.527031,-0.0381072857142857,0.223356795179837,6.165569,1.702766
22.042696,"P02","SO_1.2",100,30,5698.87793,8077.91748,-110.444969,-0.006388,-0.533223,27.778,15.4,19.5,"{""type"":""M"",""msg"":""FADE0"",""time"":21.9754,""dist"":0.444161}",5.55827,20.95827,0,10.7,15.3,-0.413042,10.7,15.4,0.004029,-0.010417,-0.006388,-0.00872589285714286,0.00104661844534189,-0.533223,-0.253215,-0.335407892857143,0.0763688530640312,5.559591,0.527031
20.176374,"P03","SO_1.2",100,1,5714.4375,8119.733887,-108.384232,-0.005697,0.357158,27.7781,6,10.7,"{""type"":""M"",""msg"":""FADE0"",""time"":20.0979,""dist"":0.399304}",3.940513,9.940513,0,14.8,10,0.258162,10,6,0.005045,-0.010742,-0.005697,-0.007858225,0.00134473528969793,0.247989,0.357158,0.293842175,0.03943096965642,NA,NA
20.509388,"P03","SO_1.2",100,2,5715.849121,8123.794434,-108.282188,-0.007894,0.414258,27.7777,19.2,31.3,"{""type"":""M"",""msg"":""FADE0"",""time"":20.4579,""dist"":0.395773}",3.741673,22.941673,0,16.9,11.8,0.329037,11.8,19.2,0.002319,-0.009562,-0.007243,-0.00814031578947368,0.000490433680408564,0.329037,0.414258,0.358915894736842,0.0245915645301936,3.940513,0.357158
21.005577,"P03","SO_1.2",100,3,5707.848145,8102.870605,-109.869202,-0.008911,-0.461873,27.7781,8.9,3.1,"{""type"":""M"",""msg"":""FADE0"",""time"":20.9241,""dist"":0.41731}",4.54656,7.64656,0,14.2,22.2,0.267021,14.2,3.1,0.003702,-0.011108,-0.007406,-0.00938341304347826,0.000798922011938224,-0.461873,0.267021,0.033666847826087,0.219022942858502,3.741673,0.414258
