id,avg.offset.sd,experiment,t_mean,t_distance_in_m,avg_OT,o_distance_in_m,sdlp_per_m,avg_sdlp_ot,avg_sdlp_od
P01,.285410730625817,2,20.5828495333333,571.791560036,3.94451496666667,109.578625774,.00260462045960004,.0722407847691603,.00260072392952438
P02,.347982252868105,2,22.9948077666667,638.795759758,6.29464496666667,174.865237174,.00199000246413668,.0562221615227983,.00202399473905528
P03,.128881518037843,2,21.5074176,597.476060928,4.9725043,138.136169454,.000933003416464077,.0244948733213713,.000881815871213458
P04,.202291560742976,2,20.3464403333333,565.22411246,3.81079156666667,105.863789722,.00191086641876507,.0517011453280319,.00186123659743147
P05,.112037197688386,2,20.3196682,564.480382596,3.76545543333333,104.604351938,.00107105675445312,.0284139858495025,.00102290354283902
P06,.285973557977963,2,22.2413582,617.864930796,5.6479879,156.901103862,.00182263573001683,.0591308295819658,.00212869800012512
P07,.362892149726015,2,21.7398686666667,603.93355156,5.22029543333333,145.019807138,.00250236265574873,.0687023603454296,.00247327477551191
P08,.172795793109645,2,22.1669985666667,615.799220182,5.747283,159.65952174,.00108227678015369,.0292240619787976,.00105314690549281
P09,.034781319081305,2,18.750126,520.87850028,2.39035336666667,66.404016526,.000523783362828461,.0153287338563933,.00055183178840758
P10,.33245248997229,2,21.0679094666667,585.266524984,4.57252756666667,127.024815802,.00261722473575951,.0712042185702726,.00256669409505111
P11,.0973221617268918,2,19.1912168333333,533.13200363,2.68524646666667,74.596146844,.00130465400485655,.0363198644472909,.00130784662622574
P12,.141188725119204,2,19.8631158965517,551.797359606207,3.47039144827586,96.4074744331034,.00146449978022372,.037568425843006,.00135246256779797
P13,.122483332436855,2,19.0272867,528.578024526,2.69586656666667,74.891173222,.00163548422554121,.0433639989225081,.00156111741877965
P14,.224333826856724,2,19.8818113666667,552.316719766,3.55282916666667,98.69759425,.00227294118525816,.0636593494747177,.00229172899571271
P15,.0836418929500012,2,18.5227565333333,514.562176496,2.17928486666667,60.540533596,.0013815849973864,.0372968049189219,.0013426955169284
P16,.576765577960873,2,24.92319,692.3662182,8.5543281,237.639234618,.00242706377542417,.0702811678613809,.00253012642605354
P17,.105283565524462,2,19.7791003,549.463406334,3.37212066666667,93.67751212,.00112389369809047,.0313478394723948,.00112852487588076
P18,.21037145832922,2,19.777508,549.41917224,3.35200827586207,93.1187899034483,.00225917302563046,.0616015920307767,.00222047463214412
P19,.0796455891098539,2,19.2427769310345,534.564343144138,2.88507137931034,80.1472829172414,.000993740351648532,.0279683964821712,.00100685739314764
P20,.161959345867976,2,20.0933571,558.193460238,3.67194343333333,102.006588578,.00158773416625076,.0437074752854975,.00157346767785748
P21,.150935114052774,2,19.9554049642857,554.361149907857,3.56914875,99.150952275,.00152227599019067,.0419116850310568,.00150881834795038
P22,.140886152673107,2,19.4532742068966,540.411957467586,3.06943427586207,85.2688841834483,.00165225749137286,.0443975836162574,.00159830534903204
P23,.148261877417494,2,19.1782295,532.77121551,2.73259473333333,75.911481692,.00195308896774068,.0537885970765245,.00193638143252941
P24,.171191288627172,2,21.901418,608.42139204,5.42900266666667,150.81769408,.00113508756165152,.0305467656454835,.00109968451785284
P25,.248147251556156,2,22.1522052333333,615.388261382,5.75162026666667,159.780011008,.00155305566691776,.0420407685458301,.00151373391921015
P26,.194784059300354,2,21.0933329333333,585.972788888,4.60197333333333,127.8428192,.00152362143231236,.0423748298338664,.00152549348739263
P27,.212554297497263,2,22.7174358,631.090366524,6.3465934,176.308364652,.00120558260475506,.03379248308724,.00121652871229901
P28,.216445747644926,2,21.7910154333333,605.354408738,5.3096765,147.50281317,.00146740081082703,.0389026238735136,.00140049374953815
P29,.399998836293678,2,23.3363570666667,648.283999312,6.94391216666667,192.90187999,.00207358702939761,.0553332761889312,.00199199198876398
P30,.0848038266793003,2,18.9176579333333,525.532537388,2.46955603333333,68.604266606,.00123613050433635,.0347074159832341,.00124946731227843
P01,.281102430568183,1,31.7444035666667,881.859531082,5.39508816666667,149.87554927,.00187557231274448,.0525857219417479,.00189308922496977
P02,.356027050128342,1,28.1691870666667,782.540016712,5.41465866666667,150.41921776,.00236689869439687,.0661569619221743,.00238164522346494
P03,.206096881539258,1,26.3470593,731.921307354,2.91163536666667,80.885230486,.00254801624846615,.0677280618009647,.00243820700166036
P04,.106849189952389,1,26.6764871666667,741.07281349,3.91226973333333,108.682853192,.000983128311543573,.0275098776419409,.00099035799126807
P05,.537124298830694,1,33.0619244333333,918.460260758,8.86642796666667,246.309368914,.00218068967980765,.0570229470386314,.00205289662781181
P06,.473668666554868,1,30.6995379,852.833162862,7.829814,217.51223292,.00217766449360612,.0558218421295638,.00200960413924845
P07,.145635594915018,1,27.2939973,758.227244994,4.4425094,123.412911132,.00118006773828752,.0330888391770143,.0011911995933501
P08,.537085509140517,1,31.3633216333333,871.273074974,8.56591446666667,237.961103884,.00225703066750914,.0619146737215243,.00222892502008659
