id,t,drive,speed.kmh,occ_nr,x,y,yaw,steer,off,speed,leftTLC,rightTLC,report,OT,OTTLC,true.TLC,FADE1.leftTLC,FADE1.rightTLC,FADE1.off,FADE1.TLC.min,FADE0.TLC.min,steer.ampl,steer.min,steer.max,steer.avg,steer.sd,offset.min,offset.max,offset.avg,offset.sd,last_OT,last_FADE0.off,offset.avg.abs,filter_$,FADE1.off.changed75,FADE1.off.abs,last_FADE0.off.abs,FADE1.off.changed75.abs,last_FADE0.off.changed75,steer.ampl.360,last_FADE0.off.changed75.abs,steer.ampl.450,last.lane.position09,last.lane.position.11,true.TLC.1.0,z.FADE1.TLC.min,z.last_FADE0.off.changed75.abs,z.last_OT,z.OT,z.OTTLC,z.steer.ampl.450,steer.sd.100.bl,off.sd.100.bl,steer.sd.60.bl,off.sd.60.bl,steer.sd.avg.100.so,off.sd.avg.100.so,off.sd.bl.60.100,z.off.sd.avg.100.so
P01,33.224548,MO_60,60,11,5567.930176,9361.333008,-59.421814,-.007243,.173494,16.6668,12.6,7.6,"{""type"":""M"",""msg"":""FADE0"",""time"":33.1445,""dist"":0.426193}",2.939312,10.539312,0,30.8,23.7,.252455,23.7,7.6,.001994,-.008057,-.006063,-.00755343333333333,.000484432813272091,.173494,.325693,.283514333333333,.0425453891017122,2.630646,.197419,.283514333333333,1,.252455,.252455,.197419,.252455,.197419,.71784,.197419,.8973,1,1,0,1.39770972985367,-.801156770218902,.422795890570502,.565205110201842,-.172176746243917,-.624768164903058, , ,0.00280126240861859,0.171870963447654,.00108883351231003,.331582572862225,.194562733105182,.465682637181346
P01,36.67252,MO_60,60,12,5595.992676,9311.168945,-62.021389,-.0059,-.674638,16.6666,9.6,2.6,"{""type"":""M"",""msg"":""FADE0"",""time"":36.5792,""dist"":0.483459}",2.943016,5.543016,0,14.1,7.7,.074458,7.7,2.6,.001018,-.006226,-.005208,-.0056396,.000381551605403787,-.674638,.074458,-.278979066666667,.225310053918186,2.939312,.173494,.278979066666667,1,.074458,.074458,.173494,.074458,.173494,.36648,.173494,.4581,1,1,0,-.458902268872693,-.879558264516975,.691695905032766,.568271049204638,-.726102044731681,-.799945755573017, , ,0.00280126240861859,0.171870963447654,.00108883351231003,.331582572862225,.194562733105182,.465682637181346
P01,38.491081,MO_60,60,13,5610.115723,9284.339844,-61.941345,.003347,-1.01757,16.6664,7.1,9.4,"{""type"":""M"",""msg"":""FADE0"",""time"":38.4445,""dist"":0.514559}",1.312912,8.412912,0,20.6,2.2,-.836957,2.2,7.1,.007212,-.002197,.005015,.00325464285714286,.00215322257976782,-1.024503,-.836957,-.968448142857143,.0636071043937911,2.943016,-.674638,.968448142857143,1,-.836957,.836957,.674638,.836957,-.674638,2.59632,.674638,3.2454,1,1,0,-1.09711264343488,.762675317866037,.694922712175659,-.781026853660803,-.407924739298047,.311785798330389, , ,0.00280126240861859,0.171870963447654,.00108883351231003,.331582572862225,.194562733105182,.465682637181346
P01,40.620094,MO_60,60,14,5626.846191,9253.035156,-62.174835,-.003703,-.456703,16.6667,7.4,12.8,"{""type"":""M"",""msg"":""FADE0"",""time"":40.6134,""dist"":0.550719}",1.62318,9.02318,0,6.1,8.4,-.949707,6.1,7.4,.00705,-.003703,.003347,-.00187070588235294,.00217258949081234,-.949707,-.456703,-.717428823529412,.15782717239208,1.312912,-1.01757,.717428823529412,1,-.949707,.949707,1.01757,.949707,-1.01757,2.538,1.01757,3.1725,0,1,0,-.644563468745329,1.88645300825796,-.725172112570164,-.524206453412564,-.340266040922785,.282709190042957, , ,0.00280126240861859,0.171870963447654,.00108883351231003,.331582572862225,.194562733105182,.465682637181346
P01,43.049404,MO_60,60,15,5645.108887,9216.887695,-64.299988,-.007243,.175052,16.6668,19.6,14.5,"{""type"":""M"",""msg"":""FADE0"",""time"":42.978,""dist"":0.590142}",1.922249,16.422249,0,37.9,31.9,-.280342,31.9,14.5,.001668,-.007894,-.006226,-.00750745,.00045465701068874,-.280342,.175052,-.0208499,.142292972054842,1.62318,-.456703,.0208499,1,-.280342,.280342,.456703,.280342,-.456703,.60048,.456703,.7506,1,1,0,2.34922337920093,.0485089788963167,-.454876486595234,-.276655883318837,.48004794855193,-.683280351950606, , ,0.00280126240861859,0.171870963447654,.00108883351231003,.331582572862225,.194562733105182,.465682637181346
P01,46.086109,MO_60,60,16,5665.902344,9170.732422,-67.061951,-.006877,.163396,16.6669,14,8.6,"{""type"":""M"",""msg"":""FADE0"",""time"":45.9896,""dist"":0.640354}",2.529003,11.129003,0,16,11.5,.234202,11.5,8.6,.001017,-.007894,-.006877,-.00709915384615385,.00041788828098502,.163396,.272542,.242918961538462,.0317636649478372,1.922249,.175052,.242918961538462,1,.234202,.234202,.175052,.234202,.175052,.36612,.175052,.45765,1,1,0,-.0179569191751815,-.874452746100406,-.194337073685439,.225577041546826,-.106799362039589,-.800125240809359, , ,0.00280126240861859,0.171870963447654,.00108883351231003,.331582572862225,.194562733105182,.465682637181346
P01,49.525032,MO_60,60,17,5686.879883,9117.379883,-69.908104,-.006388,-.703984,16.6666,8,2.1,"{""type"":""M"",""msg"":""FADE0"",""time"":49.5013,""dist"":0.698901}",3.030342,5.130342,0,13.1,7.7,.100791,7.7,2.1,.000489000000000001,-.006877,-.006388,-.0064248064516129,.00010901664073429,-.703984,.100791,-.255330838709677,.244924253022317,2.529003,.163396,.255330838709677,1,.100791,.100791,.163396,.100791,.163396,.17604,.163396,.22005,1,1,0,-.458902268872693,-.912649102110368,.334247737647965,.64055403769226,-.771854051543955,-.894893445598025, , ,0.00280126240861859,0.171870963447654,.00108883351231003,.331582572862225,.194562733105182,.465682637181346
P01,51.143795,MO_60,60,18,5696.120605,9092.023438,-69.512047,.006358,-1.044728,16.6667,6.1,8,"{""type"":""M"",""msg"":""FADE0"",""time"":51.0657,""dist"":0.724983}",1.11288099999999,7.21288099999999,0,10.1,12.4,-.890037,10.1,6.1,.003215,.003143,.006358,.00600533333333333,.000947629994280788,-1.051921,-.890037,-1.003646,.055006422124231,3.030342,-.703984,1.003646,1,-.890037,.890037,.703984,.890037,-.703984,1.1574,.703984,1.44675,1,1,0,-.180410469063738,.858841263599423,.77099834947595,-.946599975871466,-.540968804315327,-.405616691329268, , ,0.00280126240861859,0.171870963447654,.00108883351231003,.331582572862225,.194562733105182,.465682637181346
P01,52.770077,MO_60,60,19,5705.727051,9066.668945,-69.321655,-.002848,-.587743,16.6665,6.7,10.9,"{""type"":""M"",""msg"":""FADE0"",""time"":52.7679,""dist"":0.753364}",1.119965,7.819965,0,5.9,8.3,-.958538,5.9,6.7,.005991,-.002848,.003143,-.00100983333333333,.00162709081343099,-.958538,-.587743,-.783380166666667,.122150861477879,1.11288099999999,-1.044728,.783380166666667,1,-.958538,.958538,1.044728,.958538,-1.044728,2.15676,1.044728,2.69595,0,1,0,-.667771118729409,1.97544894481583,-.899432765809924,-.940736284754879,-.47366310707338,.0926343247565981, , ,0.00280126240861859,0.171870963447654,.00108883351231003,.331582572862225,.194562733105182,.465682637181346
P01,55.601063,MO_60,60,20,5721.302734,9022.121094,-72.350952,-.009766,.025363,16.6667,10.6,6.8,"{""type"":""M"",""msg"":""FADE0"",""time"":55.5549,""dist"":0.79983}",2.325184,9.125184,0,20.6,16,-.391499,16,6.8,.001709,-.009766,-.008057,-.00942495833333333,.000365500309779999,-.391499,.027456,-.109381375,.134253027201822,1.119965,-.587743,.109381375,1,-.391499,.391499,.587743,.391499,-.587743,.61524,.587743,.76905,1,1,0,.504215205466608,.477923056757111,-.893261410032309,.0568684503991869,-.328957144062602,-.675921457260577, , ,0.00280126240861859,0.171870963447654,.00108883351231003,.331582572862225,.194562733105182,.465682637181346
