id,t,drive,speed.kmh,occ_nr,x,y,yaw,steer,off,speed,leftTLC,rightTLC,report,OT,OTTLC,true.TLC,FADE1.leftTLC,FADE1.rightTLC,FADE1.off,FADE1.TLC.min,FADE0.TLC.min,steer.ampl,steer.min,steer.max,steer.avg,steer.sd,offset.min,offset.max,offset.avg,offset.sd,last_OT,last_FADE0.off,FADE1.off.abs,last_FADE0.off.changed75,steer.ampl.360,last_FADE0.off.changed75.abs,filter_$,steer.ampl.450,true.TLC.1.0,z.OT,z.OTTLC,z.steer.ampl.450,z.last_FADE0.off.changed75.abs,z.last_OT,z.FADE1.TLC.min,steer.sd.avg.100.so,off.sd.avg.100.so,steer.sd.100.bl,off.sd.100.bl,off.sd.bl.60.100
P01,35.930008,SO,100,11,5652.966309,7965.096191,-114.519119,-.009562,-.260929,27.7775,13.9,7.7,"{""type"":""M"",""msg"":""FADE0"",""time"":35.8472,""dist"":0.599359}",6.881128,14.581128,0,11.5,15.7,-.154684,11.5,7.7,.004354,-.009562,-.005208,-.00782947826086956,.00123706063630802,-.297454,-.154684,-.225811971014493,.042469654634384,6.390054,-.371848,.154684,-.371848,1.56744,.371848,1,1.9593,0,.653238727859642,.418539595942765,-.070941137421028,-.580507590682582,.454810719018058,-.270998849378116,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,32.822662,SO,100,12,5658.569824,7982.554688,-114.932045,-.008219,1.446323,27.7779,1.1,-2.734506,"{""type"":""M"",""msg"":""FADE0"",""time"":32.7558,""dist"":0.581518}",6.171964,3.437458,3.437458,9.2,4.9,-.066996,4.9,-2.734506,.00472,-.011271,-.006551,-.00893408064516129,.00118800952552326,-1.865258,1.840874,-.515003822580645,1.03219185860217,6.881128,-.260929,.066996,-.260929,1.6992,.260929,1,2.124,1,.352473414317388,-.978970049886979,.0217155266015202,-.794744466334454,.663285749434269,-.994246890581338,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,35.445522,SO,100,13,5660.891113,7982.536133,-113.547485,-.008219,-.146128,27.7774,23.8,32.7,"{""type"":""M"",""msg"":""FADE0"",""time"":35.4196,""dist"":0.581839}",6.279152,30.079152,0,18.7,24.5,.17959,18.7,23.8,.003011,-.008219,-.005208,-.00722277777777778,.000853679520671743,-.267005,.17959,-.122892174603175,.129121865160153,6.171964,1.446323,.17959,1.446323,1.08396,1.446323,1,1.35495,0,.397933184452317,2.3621217400031,-.410935399121253,1.49481013636188,.362225244357474,.517999013752671,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,29.801985,SO,100,14,5682.638184,8035.425781,-111.484955,-.004191,-.534966,27.7778,6.6,9.5,"{""type"":""M"",""msg"":""FADE0"",""time"":29.7066,""dist"":0.522706}",4.151768,10.751768,0,38.2,8.4,-.100913,8.4,6.6,.003377,-.007568,-.004191,-.00629933333333333,.000888561750099473,-.590332,-.100913,-.448286071428571,.148547500982895,6.279152,-.146128,.100913,-.146128,1.21572,.146128,1,1.51965,0,-.504316952024963,-.0616942531710895,-.318278735098704,-1.01647931394136,.407729631802651,-.610706262670539,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,31.701221,SO,100,15,5671.480469,8004.318359,-112.469971,-.006063,.953305,27.7779,1.4,7.7,"{""type"":""M"",""msg"":""FADE0"",""time"":31.6281,""dist"":0.556343}",5.37733,6.77733,0,22,16.1,.189977,16.1,1.4,.003174,-.009237,-.006063,-.00775146296296296,.000761738570341408,.189977,.953305,.540118537037037,.214715804905146,4.151768,-.534966,.189977,-.534966,1.14264,.534966,1,1.4283,0,.0154592058108431,-.560122099809789,-.369670272794271,-.265449839687874,-.495406034322946,.23308311873322,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,29.99081,SO,100,16,5677.908203,8024.551758,-113.147659,-.005697,-.886943,27.7782,19.1,1,"{""type"":""M"",""msg"":""FADE0"",""time"":29.9343,""dist"":0.535665}",4.573036,5.573036,0,10.9,7.6,.56071,7.6,1,.005208,-.010905,-.005697,-.00950021739130435,.00122206275367227,-.886943,.56071,.0136572826086957,.445566808643386,5.37733,.953305,.56071,.953305,1.87488,.953305,1,2.3436,0,-.325651929399282,-.711150664135086,.145257745298251,.542559972186812,.0248802671854883,-.698372691907293,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,31.838055,SO,100,17,5684.449219,8037.910645,-111.838524,-.008219,.221679,27.7777,45.8,18.5,"{""type"":""M"",""msg"":""FADE0"",""time"":31.7847,""dist"":0.520936}",4.05502,22.55502,0,20.7,30.3,.300232,20.7,18.5,.00118,-.008911,-.007731,-.0083930243902439,.000443576909216704,.221679,.305309,.289579926829268,.0223261170911897,4.573036,-.886943,.300232,-.886943,.4248,.886943,1,.531,0,-.54534898771006,1.41853250535274,-.874471879518208,.414383667477885,-.316565657692587,.737165086844556,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,31.27552,SO,100,18,5676.527344,8021.553711,-112.859764,-.008057,-1.025044,27.778,10.7,.6,"{""type"":""M"",""msg"":""FADE0"",""time"":31.2662,""dist"":0.54025}",4.654861,5.254861,0,25.9,31,-.102611,25.9,.6,.00236,-.009237,-.006877,-.00821785106382979,.000830708523640418,-1.025044,-.102611,-.526105255319149,.259985951125329,4.05502,.221679,.102611,.221679,.8496,.221679,1,1.062,0,-.290948924479976,-.751052476694313,-.575742744144965,-.870554718584618,-.536478341638559,1.30699687688346,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,31.309,SO,100,19,5671.230957,8007.848145,-112.943306,-.007731,-.658724,27.7778,27.4,32.6,"{""type"":""M"",""msg"":""FADE0"",""time"":31.2867,""dist"":0.554543}",5.269018,32.669018,0,44.5,13,-.136166,13,27.4,.001018,-.008057,-.007039,-.00770432075471698,.000308583162558821,-.658724,-.136166,-.432792886792453,.154606816306429,4.654861,-1.025044,.136166,-1.025044,.36648,1.025044,1,.4581,0,-.0304772667686851,2.68691264967707,-.915483845560975,.681121798586163,-.281828592884012,-.106624294559202,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,30.42168,SO,100,20,5664.007813,7990.31543,-113.267921,-.007243,-.406938,27.7778,12.4,18,"{""type"":""M"",""msg"":""FADE0"",""time"":30.3506,""dist"":0.572196}",5.878282,18.278282,0,21.9,27,.008592,21.9,12.4,.002319,-.008219,-.0059,-.0070338813559322,.000708597061824078,-.496473,.008592,-.340976610169492,.146079802749425,5.269018,-.658724,.008592,-.658724,.83484,.658724,1,1.04355,0,.227919208503618,.882193704249815,-.586122315797764,-.0264148027967706,-.0211012905724884,.868664730699687,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,32.633598,SO,100,21,5643.471191,7945.53125,-114.748589,-.00354,-.64705,27.7779,5.7,8.2,"{""type"":""M"",""msg"":""FADE0"",""time"":32.5487,""dist"":0.621047}",7.694713,13.394713,0,11.1,5.9,.127898,5.9,5.7,.005534,-.009074,-.00354,-.00678784415584416,.00132721727155705,-.995186,.127898,-.636189467532468,.328091353608243,5.878282,-.406938,.127898,-.406938,1.99224,.406938,1,2.4903,0,.998290292262621,.269753208113881,.227787997952215,-.512732259435238,.237548792574863,-.884663854035395,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,31.77161,SO,100,22,5664.340332,7991.641602,-113.919907,-.008057,-.643591,27.7776,17.8,3.6,"{""type"":""M"",""msg"":""FADE0"",""time"":31.729,""dist"":0.571607}",5.879028,9.479028,0,9.5,13.2,.185133,9.5,3.6,.005533,-.010579,-.005046,-.0080676779661017,.00156661807330619,-.643591,.185133,-.222762033898305,.237669761438949,7.694713,-.64705,.185133,-.64705,1.99188,.64705,1,2.48985,0,.228235596425033,-.221306519743354,.227534837668,-.048962799860934,1.00867597091041,-.490164922470002,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,32.918621,SO,100,23,5646.108887,7954.615723,-115.708214,-.010579,1.617878,27.7774,2,-3.242231,"{""type"":""M"",""msg"":""FADE0"",""time"":32.8868,""dist"":0.613075}",7.393707,4.151476,4.151476,9.5,5.4,.027437,5.4,-3.242231,.004353,-.010579,-.006226,-.00853125675675676,.00147906735757415,-1.852329,1.87087,-.544895945945946,1.02100849683522,5.879028,-.643591,.027437,-.643591,1.56708,.643591,1,1.95885,1,.870629886534046,-.889426206404888,-.0711942977052426,-.055643759415923,.237865491020903,-.939455372308367,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,30.501829,SO,100,24,5669.863281,8004.307129,-112.996582,-.005046,-.541899,27.7782,9,12.2,"{""type"":""M"",""msg"":""FADE0"",""time"":30.4447,""dist"":0.557357}",5.375604,14.375604,0,12.4,6.8,.038837,6.8,9,.004353,-.009399,-.005046,-.00748781481481482,.00122793113435558,-.541899,.038837,-.311181666666667,.162169240446807,7.393707,1.617878,.038837,1.617878,1.56708,1.617878,1,1.95885,0,.0147271876441372,.39276516324245,-.0711942977052426,1.82616371151543,.880890270577133,-.786039121144047,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,32.108822,SO,100,25,5652.019043,7964.829102,-114.569588,-.002197,-1.013429,27.7782,7.2,9.3,"{""type"":""M"",""msg"":""FADE0"",""time"":32.0874,""dist"":0.601717}",6.887617,14.087617,0,14.1,18.4,-.094347,14.1,7.2,.008708,-.010905,-.002197,-.00754126086956522,.00209071515102153,-1.013429,-.094347,-.60264752173913,.273705726419904,5.375604,-.541899,.094347,-.541899,3.13488,.541899,1,3.9186,0,.65599079384096,.356649178977521,1.03131874004939,-.252058948506973,.0241475305663671,.0139170456413346,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,33.200115,SO,100,26,5660.510742,7978.644531,-112.995689,-.005534,1.092227,27.7778,.1,4.9,"{""type"":""M"",""msg"":""FADE0"",""time"":33.1428,""dist"":0.584641}",6.377903,6.477903,0,16.7,21.4,-.271455,16.7,.1,.004882,-.008748,-.003866,-.00634953125,.00139905370477663,-.355942,1.092227,.061994921875,.457245235724902,6.887617,-1.013429,.271455,-1.013429,1.75752,1.013429,1,2.1969,0,.439814717465289,-.59767275598696,.0627274926442873,.658687758334299,.666040516480316,.298832940660786,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,30.495405,SO,100,27,5674.496094,8011.856934,-111.974983,-.006877,.821656,27.7775,1.9,8.1,"{""type"":""M"",""msg"":""FADE0"",""time"":30.4578,""dist"":0.549227}",5.052093,6.952093,0,10,14.1,.118858,10,1.9,.003866,-.008423,-.004557,-.00634690196078431,.00116765113377073,.03742,.821656,.24523337254902,.244905713358505,6.377903,1.092227,.118858,1.092227,1.39176,1.092227,1,1.7397,0,-.122477869788795,-.538205354407767,-.194483356117759,.81088384131031,.449652270200593,-.43537340419703,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,30.705534,SO,100,28,5667.124512,7997.524902,-113.578598,-.007894,-.411601,27.7778,37,7.7,"{""type"":""M"",""msg"":""FADE0"",""time"":30.6386,""dist"":0.564491}",5.667582,13.367582,0,20.1,12.1,.404178,12.1,7.7,.00236,-.009399,-.007039,-.00817649122807017,.000860993365720396,-.411601,.404178,.049040649122807,.233946986843364,5.052093,.821656,.404178,.821656,.8496,.821656,1,1.062,0,.138558705766095,.266350753249281,-.575742744144965,.288283694518484,-.113192189241603,-.205249027450551,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,31.022835,SO,100,29,5669.365723,8002.198242,-112.802391,-.008219,-.172166,27.7776,26.5,35,"{""type"":""M"",""msg"":""FADE0"",""time"":30.9992,""dist"":0.560513}",5.476485,31.976485,0,18.4,22.9,.097779,18.4,26.5,.00354,-.008748,-.005208,-.00676343636363636,.00119799789407526,-.337519,.097779,-.216580909090909,.112252353329001,5.667582,-.411601,.097779,-.411601,1.2744,.411601,1,1.593,0,.0575120802718738,2.60006320532387,-.277013608771723,-.503725808320779,.148100585362313,.485124102788888,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,30.911013,SO,100,30,5667.142578,7992.740234,-113.190926,-.007039,1.504905,27.7781,-2.52962,10.1,"{""type"":""M"",""msg"":""FADE0"",""time"":30.8839,""dist"":0.569939}",5.76309,3.23347,3.23347,5.6,11.7,-.205256,5.6,-2.52962,.004558,-.011597,-.007039,-.00940434482758621,.00107210361426012,-.205256,1.504905,.892930655172414,.527701833198015,5.476485,-.172166,.205256,-.172166,1.64088,.172166,1,2.0511,1,.179064841957151,-1.00455185530957,-.0192964394412469,-.966187661760729,.0669744151976403,-.917538764999178,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,29.950979,SO,100,31,5664.459473,7995.585938,-114.502373,-.008748,1.63865,27.7779,1.6,-1.624201,"{""type"":""M"",""msg"":""FADE0"",""time"":29.8647,""dist"":0.566709}",5.675014,4.050813,4.050813,11.1,7.1,.311762,7.1,-1.624201,.00472,-.011759,-.007039,-.00944354385964912,.00143315188446125,-1.821763,1.87023,-.30978547368421,.901796174459599,5.76309,1.504905,.311762,1.504905,1.6992,1.504905,1,2.124,1,.141710709830382,-.902050190557161,.0217155266015202,1.60795959361842,.188646477030354,-.753164210180264,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,31.377121,SO,100,32,5673.194336,8010.597656,-112.820862,-.007568,.089905,27.7778,20.4,26.9,"{""type"":""M"",""msg"":""FADE0"",""time"":31.3388,""dist"":0.550806}",5.064453,25.464453,0,29.9,19.3,.126716,19.3,20.4,.001872,-.008911,-.007039,-.00834780392156863,.000613305112308966,.089905,.152448,.126649058823529,.016432915112556,5.675014,1.63865,.126716,1.63865,.67392,1.63865,1,.8424,0,-.117235839348189,1.78339979605637,-.699284962841696,1.86628423533047,.151255683017765,.583748835680237,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,29.880636,SO,100,33,5668.003418,7997.625488,-112.61393,-.004557,.374705,27.7777,3.4,7,"{""type"":""M"",""msg"":""FADE0"",""time"":29.856,""dist"":0.56516}",5.570921,8.970921,0,49.7,54.2,.097064,49.7,3.4,.00468,-.009237,-.004557,-.00709032142857143,.00141281924607429,-.029978,.374705,.0837934285714286,.10254317927512,5.064453,.089905,.097064,.089905,1.6848,.089905,1,2.106,0,.0975635678680804,-.285027397480546,.0115891152329356,-1.12507243017731,-.107945013915797,3.91507314667689,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,31.448767,SO,100,34,5658.209961,7977.336914,-114.239189,-.006063,-.502911,27.7782,12.6,16.3,"{""type"":""M"",""msg"":""FADE0"",""time"":31.402,""dist"":0.587033}",6.282248,18.882248,0,9.2,12.2,-.199083,9.2,12.6,.007243,-.011597,-.004354,-.00774926984126984,.00218512671225078,-.502911,-.163159,-.277393285714286,.0869040643864531,5.570921,.374705,.199083,.374705,2.60748,.374705,1,3.25935,0,.39924623673744,.957936104262845,.660438923674987,-.574989376907328,.10706521204778,-.523039833433785,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,30.777576,SO,100,35,5666.1875,7996.547852,-113.59024,-.005697,-.88694,27.778,13.3,16.5,"{""type"":""M"",""msg"":""FADE0"",""time"":30.7652,""dist"":0.567164}",5.770393,19.070393,0,10.5,6.6,-.032452,6.6,13.3,.005411,-.011108,-.005697,-.00857575862068966,.00139894379093212,-.88694,-.029477,-.370943810344828,.269006077289105,6.282248,-.502911,.032452,-.502911,1.94796,.502911,1,2.43495,0,.182162135509558,.981531064658714,.196649282993817,-.327363155251671,.40904397280659,-.807955728453235,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,31.518005,SO,100,36,5655.841309,7971.185547,-114.217834,-.004557,-.149078,27.7779,7,10.2,"{""type"":""M"",""msg"":""FADE0"",""time"":31.4972,""dist"":0.594323}",6.681276,13.681276,0,17.5,10.7,-.022553,10.7,7,.00468,-.009237,-.004557,-.00792607462686567,.00101203643055509,-.168827,-.022553,-.114755805970149,.044971932599506,5.770393,-.88694,.022553,-.88694,1.6848,.88694,1,2.106,0,.568478997469991,.305690610840085,.0115891152329356,.4143778730637,.191746810477309,-.358665278614871,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,31.911062,SO,100,37,5657.979492,7975.134277,-114.265129,-.005046,.184145,27.7783,7.7,11.5,"{""type"":""M"",""msg"":""FADE0"",""time"":31.8801,""dist"":0.589644}",6.600351,14.300351,0,7.9,11.1,.022269,7.9,7.7,.008911,-.013102,-.004191,-.00780016666666667,.00258804276854052,-.033348,.281518,.097290303030303,.110264038934099,6.681276,-.149078,.022269,-.149078,3.20796,.149078,1,4.00995,0,.53415769379636,.383327806126022,1.08271027774496,-1.01078147332638,.578442830080484,-.66549778094351,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,31.8517,SO,100,38,5651.251465,7964.767578,-115.043167,-.008219,-1.695297,27.7777,6.2,-2.031536,"{""type"":""M"",""msg"":""FADE0"",""time"":31.8039,""dist"":0.601321}",6.995907,4.964371,4.964371,47.2,10,-.097003,10,-2.031536,.004029,-.010417,-.006388,-.0081647,.00100084354783671,-1.695297,-.097003,-.829871728571429,.471176924653264,6.600351,.184145,.097003,.184145,1.45044,.184145,1,1.81305,1,.701917935945594,-.787482358144237,-.153218229790777,-.943050565921119,.544087841145146,-.43537340419703,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,30.896372,SO,100,39,5656.095215,7972.878418,-114.692406,-.009074,-.621284,27.778,9.6,3,"{""type"":""M"",""msg"":""FADE0"",""time"":30.8806,""dist"":0.592925}",6.680914,9.680914,0,23.8,31.1,.108866,23.8,3,.004029,-.011597,-.007568,-.00847071641791045,.00111395534437958,-.621284,.108866,-.147946686567164,.196648166675781,6.995907,-1.695297,.108866,-1.695297,1.45044,1.695297,1,1.81305,0,.56832546874673,-.195988322743803,-.153218229790777,1.97569629543786,.712012734605836,1.07687250013698,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,31.445093,SO,100,40,5644.728516,7951.642578,-115.855255,-.006551,1.620464,27.7779,2.8,-2.738338,"{""type"":""M"",""msg"":""FADE0"",""time"":31.3928,""dist"":0.615896}",7.495437,4.757099,4.757099,11.8,6.8,.168783,6.8,-2.738338,.00354,-.010091,-.006551,-.00846078666666667,.00102984457359631,-1.837688,1.869217,-.500221093333333,.921212605963292,6.680914,-.621284,.168783,-.621284,1.2744,.621284,1,1.593,1,.913774850670202,-.813476004699674,-.277013608771723,-.0987290918221502,.578289150673692,-.786039121144047,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,31.067753,SO,100,41,5649.798828,7964.947754,-115.41494,-.006388,.651467,27.7778,-.918009,-3.55131,"{""type"":""M"",""msg"":""FADE0"",""time"":31.0178,""dist"":0.601651}",6.992062,3.440752,3.440752,9.4,5.5,.30134,5.5,-3.55131,.006225,-.011108,-.004883,-.00829035714285714,.00174098079167383,-1.859305,1.830886,-.0796189,1.04422969579285,7.495437,1.620464,.30134,1.620464,2.241,1.620464,1,2.80125,1,.70028722340157,-.978556954670289,.402721754344512,1.83115849654267,.924077580115495,-.928497068653772,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,31.187265,SO,100,42,5686.364746,8046.104004,-111.888908,-.008423,-.999469,27.7778,9.4,.8,"{""type"":""M"",""msg"":""FADE0"",""time"":31.0959,""dist"":0.511462}",3.749273,4.549273,0,10.1,5.4,.085677,5.4,.8,.002522,-.009399,-.006877,-.00790878947368421,.000546729992053231,-.999469,.085677,-.473711078947368,.32995889378948,6.992062,.651467,.085677,.651467,.90792,.651467,1,1.1349,0,-.675020110778353,-.839539127499812,-.534730778102198,-.0404314907096226,.710380421569613,-.939455372308367,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
P01,31.716162,SO,100,43,5652.317871,7967.429688,-115.40966,-.009237,-1.834525,27.7778,2.8,-1.61488,"{""type"":""M"",""msg"":""FADE0"",""time"":31.7014,""dist"":0.599431}",6.775482,5.160602,5.160602,12,7.5,.184691,7.5,-1.61488,.002197,-.009928,-.007731,-.00903672058823529,.000667284893968874,-1.834525,.184691,-.600908676470588,.610194832645253,3.749273,-.999469,.184691,-.999469,.79092,.999469,1,.98865,1,.608432939192303,-.762873345555852,-.617007870471947,.631724417661375,-.666276732766302,-.709330995561887,.00108883351231003,.331582572862225,.00998535491575545,.21725450276271,.194562733105182
