id,OT,occ_total,l_exc_occ,l_exc_nonocc,steering_amp,TLC_model_ALL,TLC_before_occ,TLC_after_occ,OTTLC,occ_per_10sec,l_exc_10sec,speed,group,filter_$
4,2.475,20,0,0,.001,5.393,6.042,6.482,8.957,3.33333333333333,0,2,1, 
5,2.542,19,0,0,.001,5.405,5.413,5.427,7.969,3.16666666666667,0,2,1, 
6,2.49,20,0,0,.001,5.009,5.5,5.022,7.512,3.33333333333333,0,2,1, 
7,2.464,20,0,0,.001,5.847,3.384,7.166,9.63,3.16666666666667,0,2,1, 
8,2.46,20,0,0,.001,6.083,5.364,5.66,8.12,3.33333333333333,0,2,1, 
9,2.485,20,0,0,.001,5.318,7.753,6.126,8.611,3.33333333333333,0,2,1, 
10,2.5,19,0,0,.001,5.773,4.095,8.283,10.783,3.16666666666667,0,2,1, 
11,2.465,20,0,0,.001,5.873,7.028,7.512,9.977,3.33333333333333,0,2,1, 
12,2.521,19,0,0,.001,5.682,6.163,4.518,7.039,3.16666666666667,0,2,1, 
13,2.48,20,0,0,.001,5.415,4.422,7.711,10.191,3.33333333333333,0,2,1, 
14,2.505,19,0,0,.001,5.721,6.591,6.406,8.911,3.16666666666667,0,2,1, 
15,2.526,19,0,0,.001,5.791,4.499,4.954,7.48,3.16666666666667,0,2,1, 
16,2.505,19,0,0,.001,6.103,5.599,8.635,11.14,3.16666666666667,0,2,1, 
17,2.489,19,0,0,.001,5.815,4.845,5.694,8.183,3.16666666666667,0,2,1, 
18,2.532,19,0,0,.001,5.805,3.87,4.625,7.157,3.16666666666667,0,2,1, 
19,2.47,20,0,.001,.001,5.378,5.251,5.14,7.61,3.33333333333333,0,2,1, 
20,2.521,19,0,0,.001,6.203,6.363,4.93,7.451,3.16666666666667,0,2,1, 
21,2.505,19,0,0,.001,5.814,7.375,6.631,9.136,3.16666666666667,0,2,1, 
22,2.5,19,0,0,.001,5.295,5.206,7.076,9.576,3.16666666666667,0,2,1, 
23,2.511,19,0,0,.001,6.205,10.544,5.14,7.651,3.16666666666667,0,2,1, 
24,2.537,19,0,0,.001,6.013,7.556,8.028,10.565,3.16666666666667,0,2,1, 
25,2.516,19,0,0,.001,5.934,5.707,5.702,8.218,3.16666666666667,0,2,1, 
26,2.516,19,0,0,.001,5.383,4.543,6.334,8.85,3.16666666666667,0,2,1, 
