id;drive;OT or glance duration;steering amplitude;lane crossing;total search time;TLC at the beginning of occlusion;OT mean
P01;9;.304864;1.93356;0;72.39933332;6.6;1.87783157894737
P01;9;3.761631;3.26664;1;72.39933332;5.6;1.87783157894737
P01;9;2.625274;4.22244;0;72.39933332;10.2;1.87783157894737
P01;9;3.339951;6.98832;0;72.39933332;6.2;1.87783157894737
P01;9;4.160771;10.50624;1;72.39933332;3.9;1.87783157894737
P01;9;4.768387;3.97368;1;72.39933332;8.5;1.87783157894737
P01;9;.304320999999995;.48348;0;72.39933332;22.2;1.87783157894737
P01;9;4.979439;1.64052;0;72.39933332;8;1.87783157894737
P01;9;4.873962;4.8816;1;72.39933332;6.6;1.87783157894737
P01;9;9.525139;.11736;1;72.39933332;2.5;1.87783157894737
P01;9;.303473999999994;1.09872;0;72.39933332;9.93927;1.87783157894737
P01;9;.512153999999995;.117;0;72.39933332;7.8;1.87783157894737
P01;9;.509789000000012;1.09872;0;72.39933332;4.9;1.87783157894737
P01;9;4.666999;4.95468;1;72.39933332;3.8;1.87783157894737
P01;9;.810592999999997;8.11404;1;72.39933332;2.634376;1.87783157894737
P01;9;.506858999999992;5.11524;0;72.39933332;4.862816;1.87783157894737
P01;9;.303626999999992;1.24884;1;72.39933332;5.877418;1.87783157894737
P01;9;2.03365400000001;7.0056;0;72.39933332;4.5;1.87783157894737
P01;9;2.039025;8.83152;0;72.39933332;4.4;1.87783157894737
P01;9;.711922000000001;4.40928;1;72.39933332;6;1.87783157894737
P01;9;.302749999999989;0;0;72.39933332;3.9;1.87783157894737
P01;9;.401764;1.93356;0;72.39933332;3.7;1.87783157894737
P01;9;.406860000000009;.54216;0;72.39933332;5.2;1.87783157894737
P01;9;4.27377299999999;1.20096;1;72.39933332;14.3;1.87783157894737
P01;9;4.16104099999998;4.82292;1;72.39933332;6.8;1.87783157894737
P01;9;.607726999999983;4.97232;0;72.39933332;1.41835;1.87783157894737
P01;9;.304687000000001;4.17456;1;72.39933332;2.534271;1.87783157894737
P01;9;1.01139799999999;2.9592;0;72.39933332;5.9;1.87783157894737
